7zip 26.02-1
mesa 1:26.2.1-1
mesa-utils 9.0.0-7
meson 1.12.0-1
miniaudio 0.11.25-4
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.29.0-1
mousepad 0.7.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
nano 9.2-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.5-1
netctl 1.29-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
nfs-utils 2.9.2-1
nfsidmap 2.9.2-1
nftables 1:1.1.6-3
nilfs-utils 2.3.1-1
ninja 1.13.2-3
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-2
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.08.01-1
npth 1.8-1
nspr 4.40-1
nss 3.128-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
ntp 4.2.8.p18-6
numactl 2.0.19-1
oath-toolkit 2.6.14-4
obsidian 1.13.7-2
ocl-icd 2.3.5-1
okular 26.08.0-2
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-2
openconnect 1:9.21-1
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.4-1
openvpn 2.7.6-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.43-1
os-prober 1.84-1
ostree 2026.4-1
otf-atkinsonhyperlegiblemono-nerd 3.5.1-2
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pacutils 0.15.0-2
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm-2.48 2.56.2-1
parallel 20260722-1
parallel-hashmap 2.0.0-1
parole 4.20.0-1
parted 3.7-1
patch 2.8-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
